Date,Sales
2021-12-29,1318431.47
2021-12-30,1321677.80
2021-12-31,1444005.79
2022-01-01,129900.60
2022-01-02,499991.47
2022-01-03,413019.32
2022-01-04,1039168.90
2022-01-05,957613.11
2022-01-06,1057318.66
2022-01-07,1054956.84
2022-01-08,620749.83
2022-01-09,483705.97
2022-01-10,945863.97
2022-01-11,946939.89
2022-01-12,1315765.03
2022-01-13,1518132.80
2022-01-14,1100230.30
2022-01-15,602415.93
2022-01-16,428657.61
2022-01-17,957063.28
2022-01-18,965681.57
2022-01-19,1073924.92
2022-01-20,1091611.03
2022-01-21,988344.68
2022-01-22,567053.90
2022-01-23,436479.97
2022-01-24,962454.31
2022-01-25,1066216.67
2022-01-26,265700.61
2022-01-27,1150708.54
2022-01-28,956445.49
2022-01-29,634717.86
2022-01-30,492705.47
2022-01-31,1060661.25
2022-02-01,1057582.33
2022-02-02,1149409.35
2022-02-03,1269613.20
2022-02-04,1245032.34
2022-02-05,710612.83
2022-02-06,543796.94
2022-02-07,1135580.54
2022-02-08,1075135.28
2022-02-09,1135546.60
2022-02-10,1107219.10
2022-02-11,1034100.59
2022-02-12,645090.33
2022-02-13,531016.27
2022-02-14,1020810.22
2022-02-15,945069.73
2022-02-16,996571.54
2022-02-17,1046093.77
2022-02-18,978819.64
2022-02-19,614973.50
2022-02-20,489766.83
2022-02-21,906919.38
2022-02-22,961589.75
2022-02-23,990405.18
2022-02-24,986930.39
2022-02-25,939299.75
2022-02-26,594149.19
2022-02-27,448443.35
2022-02-28,909870.95
2022-03-01,947399.91
2022-03-02,944867.15
2022-03-03,1092272.43
2022-03-04,1056399.94
2022-03-05,666453.77
2022-03-06,495033.36
2022-03-07,949776.72
2022-03-08,990376.12
2022-03-09,1077549.40
2022-03-10,1010707.56
2022-03-11,1097397.09
2022-03-12,663012.12
2022-03-13,545398.69
2022-03-14,987561.92
2022-03-15,695862.29
2022-03-16,1237336.98
2022-03-17,1054176.59
2022-03-18,999534.06
2022-03-19,642746.61
2022-03-20,487395.48
2022-03-21,976738.40
2022-03-22,951563.12
2022-03-23,986632.11
2022-03-24,1016032.52
2022-03-25,979808.30
2022-03-26,638483.86
2022-03-27,515145.79
2022-03-28,936202.50
2022-03-29,888265.10
2022-03-30,1024256.44
2022-03-31,1130943.54
2022-04-01,1028347.87
2022-04-02,676696.61
2022-04-03,507860.46
2022-04-04,1018164.28
2022-04-05,973833.11
2022-04-06,1120220.38
2022-04-07,1007780.33
2022-04-08,1073164.89
2022-04-09,676566.11
2022-04-10,475583.11
2022-04-11,989796.93
2022-04-12,1088098.04
2022-04-13,1204410.47
2022-04-14,1381629.01
2022-04-15,69936.77
2022-04-16,764776.07
2022-04-17,195209.27
2022-04-18,452290.39
2022-04-19,1148991.57
2022-04-20,1095569.44
2022-04-21,1301677.99
2022-04-22,1061701.15
2022-04-23,714969.26
2022-04-24,560161.06
2022-04-25,183017.86
2022-04-26,1181643.91
2022-04-27,1177395.12
2022-04-28,1205555.07
2022-04-29,1115707.89
2022-04-30,690786.86
2022-05-01,514513.94
2022-05-02,887821.76
2022-05-03,1042267.46
2022-05-04,1081813.11
2022-05-05,1152499.49
2022-05-06,1075811.03
2022-05-07,729101.41
2022-05-08,451083.11
2022-05-09,1026768.44
2022-05-10,1105490.75
2022-05-11,1067659.50
2022-05-12,1082995.00
2022-05-13,1079104.11
2022-05-14,684711.67
2022-05-15,484125.35
2022-05-16,1034446.40
2022-05-17,980224.72
2022-05-18,1112365.83
2022-05-19,1090602.03
2022-05-20,1079162.88
2022-05-21,700364.57
2022-05-22,470040.85
2022-05-23,1007530.62
2022-05-24,997205.32
2022-05-25,1027839.32
2022-05-26,1085811.86
2022-05-27,1038408.77
2022-05-28,689855.10
2022-05-29,484618.09
2022-05-30,989840.87
2022-05-31,983077.95
2022-06-01,1047372.08
2022-06-02,1133464.74
2022-06-03,1090600.61
2022-06-04,754216.34
2022-06-05,581779.25
2022-06-06,981515.28
2022-06-07,1043180.20
2022-06-08,1098018.07
2022-06-09,1149442.57
2022-06-10,1106678.11
2022-06-11,715895.08
2022-06-12,453421.41
2022-06-13,482731.66
2022-06-14,1079147.25
2022-06-15,1163921.36
2022-06-16,1146729.82
2022-06-17,1087884.67
2022-06-18,696839.66
2022-06-19,528302.76
2022-06-20,1023872.25
2022-06-21,1082430.48
2022-06-22,1037831.76
2022-06-23,1172414.75
2022-06-24,1050712.19
2022-06-25,708391.14
2022-06-26,521286.06
2022-06-27,997796.02
2022-06-28,1019229.69
2022-06-29,1073045.64
2022-06-30,1194140.78
2022-07-01,1076827.62
2022-07-02,693905.46
2022-07-03,458822.99
2022-07-04,927653.49
2022-07-05,1018249.17
2022-07-06,1113765.49
2022-07-07,1121625.10
2022-07-08,1012031.58
2022-07-09,687635.74
